#Slip Speed [rpm],Torque [Nm]
2.550000000000000000e+03,2.019357317048570266e+01
2.565000000000000000e+03,2.013248971999489001e+01
2.580000000000000000e+03,2.007190873073744442e+01
2.595000000000000000e+03,2.001182719339753646e+01
2.610000000000000000e+03,1.995224203776317040e+01
2.625000000000000000e+03,1.989315013748565875e+01
2.640000000000000000e+03,1.983454831460485934e+01
2.655000000000000000e+03,1.977643334385057372e+01
2.670000000000000000e+03,1.971880195673065117e+01
2.685000000000000000e+03,1.966165084541531627e+01
2.700000000000000000e+03,1.960497666642785219e+01
2.715000000000000000e+03,1.954877604414976133e+01
2.730000000000000000e+03,1.949304557414956918e+01
2.745000000000000000e+03,1.943778182634310170e+01
2.760000000000000000e+03,1.938298134799316585e+01
2.775000000000000000e+03,1.932864066655615432e+01
2.790000000000000000e+03,1.927475629238228549e+01
2.805000000000000000e+03,1.922132472127687564e+01
2.820000000000000000e+03,1.916834243692818163e+01
2.835000000000000000e+03,1.911580591320915445e+01
2.850000000000000000e+03,1.906371161635773248e+01
2.865000000000000000e+03,1.901205600704220089e+01
2.880000000000000000e+03,1.896083554231648094e+01
2.895000000000000000e+03,1.891004667747074919e+01
2.910000000000000000e+03,1.885968586778185596e+01
2.925000000000000000e+03,1.880974957016866966e+01
2.940000000000000000e+03,1.876023424475630463e+01
2.955000000000000000e+03,1.871113635635394346e+01
2.970000000000000000e+03,1.866245237584987038e+01
2.985000000000000000e+03,1.861417878152776950e+01
3.000000000000000000e+03,1.856631206030795056e+01
