# Polar angle [rad], E-plane far-field radiation pattern [V]
5.458297850650422944e+00, 6.584669116413770507e-01
5.475848647597851837e+00, 6.449602882617415656e-01
5.493399444545280730e+00, 6.313506720986470366e-01
5.510950241492709623e+00, 6.176469535047169890e-01
5.528501038440138515e+00, 6.038577443147292723e-01
5.546051835387567408e+00, 5.899913659416817779e-01
5.563602632334996301e+00, 5.760558386291811939e-01
5.581153429282425193e+00, 5.620588718610498580e-01
5.598704226229854086e+00, 5.480078559247311132e-01
5.616255023177282979e+00, 5.339098546209556373e-01
5.633805820124712760e+00, 5.197715991083020626e-01
5.651356617072141653e+00, 5.055994828676682040e-01
5.668907414019570545e+00, 4.913995577683622495e-01
5.686458210967000326e+00, 4.771775312144623804e-01
5.704009007914429219e+00, 4.629387643473157898e-01
5.721559804861858112e+00, 4.486882712775627224e-01
5.739110601809287004e+00, 4.344307193178510440e-01
5.756661398756715897e+00, 4.201704301854691792e-01
5.774212195704144790e+00, 4.059113821424572555e-01
5.791762992651573683e+00, 3.916572130393706774e-01
5.809313789599002575e+00, 3.774112242277123386e-01
5.826864586546431468e+00, 3.631763853051648838e-01
5.844415383493860361e+00, 3.489553396571114519e-01
5.861966180441289254e+00, 3.347504107574768573e-01
5.879516977388718146e+00, 3.205636091917395403e-01
5.897067774336147927e+00, 3.063966403649071579e-01
5.914618571283576820e+00, 2.922509128574449222e-01
5.932169368231005713e+00, 2.781275473924395558e-01
5.949720165178434605e+00, 2.640273863778062613e-01
5.967270962125864386e+00, 2.499510039878954093e-01
5.984821759073293279e+00, 2.358987167496505999e-01
6.002372556020722172e+00, 2.218705945992409667e-01
6.019923352968151065e+00, 2.078664723760355326e-01
6.037474149915579957e+00, 1.938859617217473519e-01
6.055024946863008850e+00, 1.799284633535980782e-01
6.072575743810437743e+00, 1.659931796814206884e-01
6.090126540757866636e+00, 1.520791277396729979e-01
6.107677337705295528e+00, 1.381851524064333092e-01
6.125228134652724421e+00, 1.243099398825025514e-01
6.142778931600153314e+00, 1.104520314047543750e-01
6.160329728547583095e+00, 9.660983716891172191e-02
6.177880525495011987e+00, 8.278165043786056554e-02
6.195431322442440880e+00, 6.896566181244542793e-02
6.212982119389869773e+00, 5.515997364263356545e-02
6.230532916337299554e+00, 4.136261455748196231e-02
6.248083713284728447e+00, 2.757155409317284256e-02
6.265634510232157339e+00, 1.378471739879287387e-02
6.283185307179586232e+00, 0.000000000000000000e+00
